"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"DS_SITUACAO_JULGAMENTO_URNA";"TOTAL_VOTOS";"DS_SIT_TOT_TURNO";"RECEITA_TOTAL";"FONTE_RECEITA";"ORIGEM_RECEITA";"BENS_TOTAL"
250001973504;"GILBERTO NASCIMENTO SILVA JUNIOR";"#NULO";"PL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"#NE";"S";"DEFERIDO";22306;"ELEITO POR MÉDIA";1236331,6;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de partido político";1065065,64
250001973496;"EDUARDO DE CASTRO";"#NULO";"PL";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"ADVOGADO";"#NE";"N";"DEFERIDO";2813;"SUPLENTE";307280;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos próprios, Recursos de partido político";3149219,1
250002052105;"AGOSTINHO FERREIRA GOMES";"#NULO";"PSOL";"MASCULINO";"SUPERIOR COMPLETO";"VIÚVO(A)";"PARDA";"ADVOGADO";"#NE";"N";"DEFERIDO";442;"SUPLENTE";43469,92;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de outros candidatos, Recursos de pessoas físicas, Recursos de partido político";692529,4
250002052131;"GABRIEL DE MEDEIROS JACQUES";"#NULO";"PSOL";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"#NE";"N";"DEFERIDO";1070;"SUPLENTE";36816,36;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos de outros candidatos, Recursos de pessoas físicas";NA
250002052106;"ANTÔNIO BIAGIO VESPOLI";"#NULO";"PSOL";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"PROFESSOR DE ENSINO MÉDIO";"#NE";"S";"DEFERIDO";34735;"ELEITO POR QP";528464,74;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos próprios, Recursos de Financiamento Coletivo, Recursos de partido político, Recursos de outros candidatos";548470,5
250002052114;"ELAINE CRISTINA MINEIRO";"#NULO";"PSOL";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"VEREADOR";"#NE";"S";"DEFERIDO";15615;"SUPLENTE";742636,24;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de Financiamento Coletivo, Recursos de partido político, Recursos de outros candidatos";NA
250002052116;"LUANA DOS SANTOS ALVES SILVA";"#NULO";"PSOL";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PRETA";"VEREADOR";"#NE";"S";"DEFERIDO";83262;"ELEITO POR QP";601539,49;"OUTROS RECURSOS, FUNDO ESPECIAL, FUNDO PARTIDARIO";"Recursos de pessoas físicas, Recursos de Financiamento Coletivo, Recursos próprios, Recursos de partido político, Recursos de outros candidatos";269797,68
250002052082;"EDSON ITAMAR DA SILVA";"#NULO";"PSOL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PRETA";"ELETRICISTA E ASSEMELHADOS";"#NE";"N";"DEFERIDO";1423;"SUPLENTE";42467,92;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos de outros candidatos, Recursos de pessoas físicas";NA
250002018933;"MARIO TADEU GUERRERA";"#NULO";"MOBILIZA";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";10;"NÃO ELEITO";0;"#NULO";"#NULO";NA
250002018903;"SIDNEY MELO DA SILVA";"#NULO";"MOBILIZA";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"PARDA";"PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL";"#NE";"N";"DEFERIDO";22;"NÃO ELEITO";0;"#NULO";"#NULO";NA
