"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"BENS_TOTAL";"TOTAL_VOTOS";"DS_SIT_TOT_TURNO";"RECEITA_TOTAL";"FONTE_RECEITA";"ORIGEM_RECEITA";"ST_REELEICAO"
250001259482;"GETSON SILVA CARVALHO";"#NULO";"PRTB";"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"VIGILANTE";"APTO";53857;145;"NÃO ELEITO";0;"#NULO";"#NULO";"N"
250001041963;"SUELI DE MELO";"#NULO";"PRTB";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"COMERCIANTE";"APTO";55000;144;"NÃO ELEITO";0;"#NULO";"#NULO";"N"
250000706701;"JOSÉ CARLOS OLIVEIRA";"#NULO";"PV";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PROFESSOR DE ENSINO MÉDIO";"APTO";360263;1089;"SUPLENTE";10000;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000706741;"OSMI DE JESUS SANTANA";"#NULO";"PV";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"PRETA";"AGENTE ADMINISTRATIVO";"APTO";NA;840;"SUPLENTE";6000;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000706704;"PATRICIA OLIVEIRA PENNA";"#NULO";"PV";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";21359,4;468;"SUPLENTE";102850;"FUNDO ESPECIAL, OUTROS RECURSOS, FUNDO PARTIDARIO";"Recursos de partido político, Recursos de pessoas físicas";"N"
250000706763;"ALOISIO SILVA JUNIOR";"#NULO";"PV";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"APTO";NA;381;"SUPLENTE";8500;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000706699;"CLÁUDIO MANOEL DE PAULA";"#NULO";"PV";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";15000;127;"SUPLENTE";3000;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000706756;"LUCIANE TORRECILLAS SARRAF";"#NULO";"PV";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"PUBLICITÁRIO";"APTO";226919,33;4200;"SUPLENTE";95000;"FUNDO ESPECIAL";"Recursos de partido político, Recursos de outros candidatos";"N"
250000706718;"ROGÉRIO SOUZA ELIAS";"#NULO";"PV";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"SOLTEIRO(A)";"PRETA";"ADMINISTRADOR";"APTO";NA;178;"SUPLENTE";19205,27;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos próprios, Recursos de Financiamento Coletivo";"N"
250000925938;"CICERO EDINALDO DE MENEZES";"#NULO";"PSC";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";NA;367;"SUPLENTE";10495;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos de pessoas físicas";"N"
250000883850;"SONAIRA FERNANDES DE SANTANA";"#NULO";"REPUBLICANOS";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PRETA";"OUTROS";"APTO";94686,71;17881;"ELEITO POR MÉDIA";22002,5;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de partido político";"N"
250000925971;"MADALENA DE LAURA PEREIRA";"#NULO";"PSC";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"VIGILANTE";"APTO";NA;326;"SUPLENTE";17620;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos de pessoas físicas";"N"
250000925962;"ANTONIO AUGUSTO BARREIRA";"#NULO";"PSC";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"MÉDICO";"APTO";2947033,19;10945;"SUPLENTE";130650;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de partido político, Recursos próprios";"N"
250000883868;"RICARDO SANT ANA DE OLIVEIRA";"#NULO";"REPUBLICANOS";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"BRANCA";"JORNALISTA E REDATOR";"APTO";NA;129;"SUPLENTE";3458,25;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000883885;"MARIO ALBERTO ROSA DE OLIVEIRA";"#NULO";"REPUBLICANOS";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"OUTROS";"APTO";NA;1144;"SUPLENTE";3547,48;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000883828;"JOAO BOSCO ALVES DE SOUZA";"#NULO";"REPUBLICANOS";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"OUTROS";"APTO";1671884,8;697;"SUPLENTE";8712,48;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de partido político, Recursos próprios";"N"
250000883826;"SANSÃO PEREIRA FILHO";"#NULO";"REPUBLICANOS";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";NA;39709;"ELEITO POR QP";238096,93;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de partido político, Recursos próprios";"N"
250000925980;"LEANDRO BRAGA SOUZA";"#NULO";"PSC";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"EMPRESÁRIO";"APTO";NA;970;"SUPLENTE";17120;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000925987;"ZENIVAL DO CARMO FERREIRA ALIAGA";"#NULO";"PSC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"BRANCA";"POLICIAL MILITAR";"APTO";214000;1249;"SUPLENTE";11495;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos de pessoas físicas";"N"
250000925942;"EIJI DE CAMPOS SANTANA";"#NULO";"PSC";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"MEMBRO DAS FORÇAS ARMADAS";"APTO";196000;186;"SUPLENTE";68921,84;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos próprios";"N"
250000925920;"JOÃO PEDRO DOS SANTOS FILHO";"#NULO";"PSC";"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PARDA";"OUTROS";"APTO";130000;566;"SUPLENTE";7495;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000925967;"DAVID ALEXANDER  DA SILVA RAMOS";"#NULO";"PSC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"VIGILANTE";"APTO";NA;194;"SUPLENTE";1500;"FUNDO ESPECIAL";"Recursos de partido político";"N"
250000925950;"AGUSTIN FRANCISCO CARBALLO";"#NULO";"PSC";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"PUBLICITÁRIO";"APTO";NA;166;"SUPLENTE";17695;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos próprios, Recursos de partido político";"N"
250000883884;"DELMAR RUI DA GRAÇA BINAS";"#NULO";"REPUBLICANOS";"MASCULINO";"SUPERIOR INCOMPLETO";"VIÚVO(A)";"BRANCA";"OUTROS";"APTO";60000;613;"SUPLENTE";15156,21;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de partido político";"N"
250000883842;"CINTIA REGINA DA COSTA SANTANA";"#NULO";"REPUBLICANOS";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"PSICÓLOGO";"APTO";70000;537;"SUPLENTE";13759,48;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos próprios, Recursos de partido político";"N"
250000883878;"FERNANDA CAVALCANTE DE OLIVEIRA SANTOS";"#NULO";"REPUBLICANOS";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ADMINISTRADOR";"APTO";50;894;"SUPLENTE";21867,38;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos próprios, Recursos de pessoas físicas, Recursos de partido político";"N"
